DATE,A229RX0
1968-03-01,16680.0
1968-04-01,16725.0
1968-05-01,16780.0
1968-06-01,16841.0
1968-07-01,16791.0
1968-08-01,16797.0
1968-09-01,16782.0
1968-10-01,16827.0
1968-11-01,16876.0
1968-12-01,16922.0
1969-01-01,16880.0
1969-02-01,16873.0
1969-03-01,16892.0
1969-04-01,16854.0
1969-05-01,17031.0
1969-06-01,17137.0
1969-07-01,17241.0
1969-08-01,17328.0
1969-09-01,17349.0
1969-10-01,17372.0
1969-11-01,17386.0
1969-12-01,17402.0
1970-01-01,17481.0
1970-02-01,17523.0
1970-03-01,17576.0
1970-04-01,17743.0
1970-05-01,17652.0
1970-06-01,17669.0
1970-07-01,17899.0
1970-08-01,17935.0
1970-09-01,17894.0
1970-10-01,17815.0
1970-11-01,17769.0
1970-12-01,17830.0
1971-01-01,18085.0
1971-02-01,18093.0
1971-03-01,18135.0
1971-04-01,18155.0
1971-05-01,18211.0
1971-06-01,18578.0
1971-07-01,18295.0
1971-08-01,18340.0
1971-09-01,18428.0
1971-10-01,18468.0
1971-11-01,18494.0
1971-12-01,18572.0
1972-01-01,18464.0
1972-02-01,18564.0
1972-03-01,18627.0
1972-04-01,18604.0
1972-05-01,18726.0
1972-06-01,18769.0
1972-07-01,18890.0
1972-08-01,19048.0
1972-09-01,19104.0
1972-10-01,19566.0
1972-11-01,19767.0
1972-12-01,19839.0
1973-01-01,19722.0
1973-02-01,19856.0
1973-03-01,19914.0
1973-04-01,19925.0
1973-05-01,19946.0
1973-06-01,19990.0
1973-07-01,20021.0
1973-08-01,19939.0
1973-09-01,20022.0
1973-10-01,20182.0
1973-11-01,20199.0
1973-12-01,20110.0
1974-01-01,19950.0
1974-02-01,19786.0
1974-03-01,19632.0
1974-04-01,19604.0
1974-05-01,19569.0
1974-06-01,19514.0
1974-07-01,19573.0
1974-08-01,19528.0
1974-09-01,19489.0
1974-10-01,19536.0
1974-11-01,19417.0
1974-12-01,19407.0
1975-01-01,19384.0
1975-02-01,19384.0
1975-03-01,19389.0
1975-04-01,19728.0
1975-05-01,20847.0
1975-06-01,20125.0
1975-07-01,19795.0
1975-08-01,19908.0
1975-09-01,19938.0
1975-10-01,20004.0
1975-11-01,19973.0
1975-12-01,19978.0
1976-01-01,20092.0
1976-02-01,20203.0
1976-03-01,20251.0
1976-04-01,20263.0
1976-05-01,20248.0
1976-06-01,20251.0
1976-07-01,20349.0
1976-08-01,20372.0
1976-09-01,20357.0
1976-10-01,20303.0
1976-11-01,20469.0
1976-12-01,20531.0
1977-01-01,20474.0
1977-02-01,20278.0
1977-03-01,20546.0
1977-04-01,20561.0
1977-05-01,20548.0
1977-06-01,20616.0
1977-07-01,20729.0
1977-08-01,20792.0
1977-09-01,20885.0
1977-10-01,21017.0
1977-11-01,21166.0
1977-12-01,21237.0
1978-01-01,21129.0
1978-02-01,21240.0
1978-03-01,21399.0
1978-04-01,21455.0
1978-05-01,21422.0
1978-06-01,21404.0
1978-07-01,21490.0
1978-08-01,21558.0
1978-09-01,21542.0
1978-10-01,21579.0
1978-11-01,21579.0
1978-12-01,21668.0
1979-01-01,21754.0
1979-02-01,21825.0
1979-03-01,21865.0
1979-04-01,21668.0
1979-05-01,21548.0
1979-06-01,21471.0
1979-07-01,21604.0
1979-08-01,21611.0
1979-09-01,21568.0
1979-10-01,21533.0
1979-11-01,21569.0
1979-12-01,21592.0
1980-01-01,21720.0
1980-02-01,21585.0
1980-03-01,21430.0
1980-04-01,21388.0
1980-05-01,21288.0
1980-06-01,21312.0
1980-07-01,21479.0
1980-08-01,21481.0
1980-09-01,21552.0
1980-10-01,21702.0
1980-11-01,21718.0
1980-12-01,21804.0
1981-01-01,21706.0
1981-02-01,21625.0
